"id","n","type"
"Alpha",131,"magazine"
"CULTURA",37,"magazine"
"Hojas de Poesía",15,"magazine"
"La Bohemia Alegre",32,"magazine"
"La Gruta",80,"magazine"
"Lectura Amena",139,"magazine"
"Panida",84,"magazine"
"Revista Alas",64,"magazine"
"Revista Contemporánea",54,"magazine"
"Revista Literaria",112,"magazine"
"Revista Moderna",132,"magazine"
"Trofeos",93,"magazine"
"[Ilegible]",1,"person"
"AA. VV.",1,"person"
"Abella-Nouvrac, L",1,"person"
"Abella Mendoza, Temístocles",2,"person"
"Acevedo, Graciliano",1,"person"
"Acosta de Samper, Soledad",3,"person"
"Acosta, Javier",15,"person"
"Acremant, Albert",1,"person"
"Alba Barrenechea, Antonio",1,"person"
"Alba, E.",1,"person"
"Alcántara Jurado, Francisco",1,"person"
"Allais, Alphonse",1,"person"
"Altenberg, Peter",5,"person"
"Álvarez Bonilla, Enrique",1,"person"
"Álvarez R., Lisandro",1,"person"
"Álvarez, Bernardo",1,"person"
"Álvarez, Lisandro",1,"person"
"Ángel Montoya, Alberto",1,"person"
"Aparicio, Alberto",6,"person"
"Arango Ferrer, Eleázar",4,"person"
"Arango Ferrer, Javier",1,"person"
"Arango M, Gabriel",1,"person"
"Arango Mejía, Gabriel",2,"person"
"Arboleda, Arturo",1,"person"
"Arbós y Góngora",1,"person"
"Arce, Julio César",5,"person"
"Arciniegas, Ismael Enrique",2,"person"
"Argüello, Agenor",1,"person"
"Arias Argáez, Daniel",1,"person"
"Asbjørnsen, Peter Christen",1,"person"
"Azorin, Felipe",1,"person"
"Bahr, Hermann",1,"person"
"Banchs, Enrique",1,"person"
"Barbier, Auguste",1,"person"
"Barón, Felipe",2,"person"
"Barrès, Maurice",3,"person"
"Barreto, José María",1,"person"
"Barriga Paez, J.",1,"person"
"Barzini, Luigi",1,"person"
"Bayona Posada, Jorge",3,"person"
"Beaunier, André",1,"person"
"Becerra, Ricardo",1,"person"
"Bécquer, Gustavo Adolfo",1,"person"
"Bedout, C. de",1,"person"
"Bel, León",3,"person"
"Bellaigue, Camile",1,"person"
"Bello, Andrés",1,"person"
"Benavente, Jacinto",3,"person"
"Bengoechea, Alfredo de",1,"person"
"Bernal, Luis A.",1,"person"
"Betancourt Villegas, Félix",4,"person"
"Biart, Lucien",1,"person"
"Bilac, Olavo",1,"person"
"Bissière, Roger",1,"person"
"Blaine, James G.",1,"person"
"Blanco Asenjo, Ricardo",1,"person"
"Blanco Fombona, Rufino",10,"person"
"Blanco y Sánchez, Rufino",2,"person"
"Blanco, Héctor",1,"person"
"Blanco, Ignacio",3,"person"
"Blasco Ibáñez, Vicente",1,"person"
"Blomberg, Héctor Pedro",1,"person"
"Bloy, León",1,"person"
"Bobadilla, Emilio",1,"person"
"Bocquet, León",1,"person"
"Böhl de Faber y Ruiz de Larrea, Cecilia",1,"person"
"Bohorquez, Daniel",3,"person"
"Bolívar, Simón",1,"person"
"Bonilla, Manuel Antonio",2,"person"
"Bonnard, Abel",1,"person"
"Botero Guerra, Camilo",3,"person"
"Botero Saldarriaga, Roberto",1,"person"
"Botero, Emiro",2,"person"
"Bouret, Alonso",1,"person"
"Bourget, Paul",1,"person"
"Breen, M.",1,"person"
"Briand, Monsieur",1,"person"
"Briceño, Manuel",2,"person"
"Brisay, Henry de",2,"person"
"Brooks, Adam",1,"person"
"Bueno, Manuel",1,"person"
"Bunster, Cesar",1,"person"
"Burns, Robert",1,"person"
"Cabello de Carbonera, Mercedes",2,"person"
"Cadenas, José Juan",1,"person"
"Caicedo Rojas, José",3,"person"
"Calcaño, José A.",1,"person"
"Calcaño, Julio",1,"person"
"Calderón, Luis Eduardo",1,"person"
"Camacho Ramírez, Arturo",5,"person"
"Camacho Roldán, Salvador",2,"person"
"Campo, Carlos Del",1,"person"
"Campoamor, Ramón de",3,"person"
"Cañas, Juan José",1,"person"
"Cano Gutíérrez, Fidel",11,"person"
"Cano Torres, Antonio José",9,"person"
"Cano Villegas, Gabriel",1,"person"
"Cano, Antonio José",9,"person"
"Cano, Luis",11,"person"
"Cantillo, Liborio D.",1,"person"
"Capuana, Luigi",1,"person"
"Carbonell, Gonzalo",1,"person"
"Carducci, Giosuè",9,"person"
"Caro, José Eusebio",10,"person"
"Caro, Miguel Antonio",8,"person"
"Carranza Fernández, Eduardo",9,"person"
"Carrasquilla L., Juan de Dios",3,"person"
"Carrasquilla, Ricardo",1,"person"
"Carrasquilla, Tomás",15,"person"
"Carreño, Pedro M.",1,"person"
"Carrere, Emilio",1,"person"
"Carricarte, Arturo R. de",1,"person"
"Carriego, Evaristo",2,"person"
"Carrillo, Enrique A.",5,"person"
"Carvajal, Alberto",2,"person"
"Carvajal, Manuel Antonio",21,"person"
"Casal, Julián del",1,"person"
"Casas Castañeda, José Joaquín",4,"person"
"Casas Castañeda, Vicente",1,"person"
"Castello, Carlos",4,"person"
"Castello, Manuel",1,"person"
"Castillo, Eduardo",8,"person"
"Castro y Serrano, José de",1,"person"
"Castro, Alfonso",11,"person"
"Castro, Eugenio de",1,"person"
"Cervantes, Edmundo",1,"person"
"Cervera, Manuel",4,"person"
"Céspedes, Ángel María",4,"person"
"Cestero, Tulio",3,"person"
"Chaves, J.R.",1,"person"
"Chénier, André",1,"person"
"Claretie, Jules",1,"person"
"Claussen, Sophus",1,"person"
"Clímaco, Silva",1,"person"
"Cobban, J. MacLaren",1,"person"
"Coll, Pedro Emilio",1,"person"
"Colorado, Vicente",1,"person"
"Comandante de Civrieux",1,"person"
"Consuegra, Manuel S.",1,"person"
"Cooke, John Esten",1,"person"
"Coppée, François",2,"person"
"Coradine, Alberto",8,"person"
"Cordovez Moure, José María",1,"person"
"Corral, M. Antonio del",1,"person"
"Correa U., Emilio",4,"person"
"Correa, Ramón",1,"person"
"Covarrubias, Miguel",1,"person"
"Cuervo Márquez, Carlos",6,"person"
"Cuervo Márquez, Emilio",10,"person"
"Cuervo, Luis Augusto",1,"person"
"Cuervo, Rufino José",3,"person"
"D'Annunzio, Gabriele",5,"person"
"D'Avenel, Vizconde",1,"person"
"D'Enjoÿ, Paul",1,"person"
"D'Oribe, R.",7,"person"
"d'Ors, Eugenio",7,"person"
"D'Ors, Eugenio",2,"person"
"Dahlgren, E.N.",1,"person"
"Darío, Rubén",17,"person"
"Daudet, Alphonse",3,"person"
"Davray, Henry-D.",1,"person"
"De Creta, Ruy",1,"person"
"De la Cruz, Efraím",2,"person"
"de la Cruz, Jorge",4,"person"
"de la Rosa, Leopoldo",8,"person"
"De Narváez, Antonio",1,"person"
"de Parville, Henry",1,"person"
"de Pombo, Lino",1,"person"
"Delgado, Jorge E.",1,"person"
"Deslys, Charles",1,"person"
"Desroix, Jacques",1,"person"
"Déubel, Leon",1,"person"
"Díaz del Castillo, Ildefonso",1,"person"
"Díaz Rodríguez, Manuel",1,"person"
"Díaz Romero, Eugenio",2,"person"
"Díaz, Leopoldo",4,"person"
"Díaz, Pedro Pablo",1,"person"
"Dicenta, Joaquín",8,"person"
"Díez-Canedo, Enrique",1,"person"
"Díez Canedo, Manuel",1,"person"
"Diuribía, Marcel",1,"person"
"Donato Navarro, M.",1,"person"
"Dumas, Joël",2,"person"
"Duque Bernal, Augusto",1,"person"
"Duque Uribe, Rafael",4,"person"
"E.P",1,"person"
"Eastman, Maria",1,"person"
"Eastman, Tomás O",2,"person"
"Eça De Queiroz, José Maria",2,"person"
"Echagüe, Francisco",1,"person"
"Echavarría y Larrazábal, Raimundo",1,"person"
"Echegorri, P.",1,"person"
"Echeverri Peláez, Alfonso",4,"person"
"Echeverri, Alonso",1,"person"
"Echeverría, Eduardo",3,"person"
"Echeverría, Marcelino",2,"person"
"EDOS",1,"person"
"Eraña, Silverio",1,"person"
"Escobar Larrazábal, Melitón",8,"person"
"Escobar Padilla, Cenón",1,"person"
"Escobar R., Eusebio",1,"person"
"Escobar Roa, Rafael",2,"person"
"Escobar Rojo, Severo",4,"person"
"Escobar Sarmiento, Ricardo",2,"person"
"Escobar Uribe, Jorge",6,"person"
"Escobar, F.S.",1,"person"
"Escobar, Mario",3,"person"
"Escobar, Pedro Ignacio",7,"person"
"Esguerra Ortiz, Joaquín",1,"person"
"Esguerra, Manuel",2,"person"
"Espinosa Guzmán, Rafael",30,"person"
"Esquivel Obregón, Toribio",1,"person"
"Fallon Carrión, Diego",1,"person"
"Febres Cordero, Tulio",1,"person"
"Fernández Avendano, Enrique Wenceslao",4,"person"
"Fernández García, Alejandro",3,"person"
"Fernández Ríos, Ovidio",1,"person"
"Ferrari, Emilio",1,"person"
"Ferrer, Jesús",4,"person"
"Ferrero, Guillermo",1,"person"
"Floralba",3,"person"
"Flórez, Julio",5,"person"
"Fort, Paul",4,"person"
"France, Anatole",1,"person"
"Francés, José",1,"person"
"Francisco, Julio de",5,"person"
"Fx. B.",1,"person"
"Gaitán O, Gustavo",1,"person"
"Gaitán O., Gustavo",3,"person"
"Galindo, Aníbal",1,"person"
"Gálvez, Manuel (hijo)",1,"person"
"Gamboa, Isaías",1,"person"
"Gamboa, Mateo",1,"person"
"Gamero, Luis",1,"person"
"Garcés, Enrique",2,"person"
"Garcia Calvo, Federico",1,"person"
"García Ortiz, Laureano",3,"person"
"Garcia Pujol, Domingo",3,"person"
"García Rico, Francisco",1,"person"
"García, Juan Crisóstomo",1,"person"
"Garrido, Gilberto",1,"person"
"Garrido, Pablo",1,"person"
"Gartner, Hugo",1,"person"
"Gautier, Judith",2,"person"
"Gautier, Théophile",1,"person"
"Gaviria Arango, Enrique",1,"person"
"Gaviria, José A.",2,"person"
"Gebhart, Émile",1,"person"
"Gerin, Gabriel",1,"person"
"Gide, André",3,"person"
"Gil, Constantino",2,"person"
"Gil, Ricardo",1,"person"
"Gil, Rivero",20,"person"
"Gill, Charles",1,"person"
"Giraldo, Francisco",1,"person"
"Giraud, Victor",1,"person"
"Girón, Lázaro María",1,"person"
"Gómez Barrientos, Estanislao",5,"person"
"Gómez Carrillo, Enrique",9,"person"
"Gómez de Baquero, Eduardo",2,"person"
"Gómez E., Bernardo",2,"person"
"Gómez Escobar, Francisco",4,"person"
"Gomez Jaime de Abadia, Herminia",1,"person"
"Gómez Jaime, Alfredo",4,"person"
"Gomez Naranjo, Abelardo",2,"person"
"Gómez Restrepo, Antonio María",18,"person"
"Gómez, L.",4,"person"
"Gómez, Lucas",1,"person"
"Gómez, Pedro Nel",1,"person"
"Gómez, Plinio",1,"person"
"Gomperz, Theodor",4,"person"
"Gonzaga Urbina, Luis",1,"person"
"González Blanco, Andrés",4,"person"
"González Martínez, Enrique",1,"person"
"González Ochoa, Fernando",6,"person"
"González Serrano, Urbano",1,"person"
"González Suárez, Federico",1,"person"
"González, Pelayo",2,"person"
"Gorki, Maksim",1,"person"
"Gourmont, Remy de",5,"person"
"Goyau, Georges",1,"person"
"Graf, Arturo",1,"person"
"Gramont, Luciano",1,"person"
"Grant, Allen",2,"person"
"Gray, Mortimer",1,"person"
"Greiff, León de",8,"person"
"Greiff, Luis de",2,"person"
"Greiner Aubin, Gabriel",1,"person"
"Grillo, Maximiliano",23,"person"
"Groot, José Manuel",1,"person"
"Güell, Joaquín M.",7,"person"
"Güell, Luis C.",1,"person"
"Guérin, Charles",1,"person"
"Guérin, Maurice de",1,"person"
"Guerra Azuola, Ramón",2,"person"
"Guerrero, Rafael",1,"person"
"Guerrini, Olindo",1,"person"
"Gutiérrez B., Germán",1,"person"
"Gutiérrez de Alba, José María",1,"person"
"Gutiérrez Robledo, Julio",1,"person"
"Gutierrez, Adolfo León",1,"person"
"Gutiérrez, Francisco A.",1,"person"
"Guzmán, César Coronado",1,"person"
"Hawthorne, Nathaniel",1,"person"
"Hearn, Lafcadio",3,"person"
"Henao Henao, Federico Carlos",11,"person"
"Heredia Márquez, Francisco",1,"person"
"Heredia, Francisco de",1,"person"
"Heredia, José María de",11,"person"
"Hermant, Abel",1,"person"
"Hernández Catá, Alfonso",1,"person"
"Herrán, Pablo Emilio",1,"person"
"Herrera, Benjamín",1,"person"
"Hinestroza Daza, Ricardo",4,"person"
"Holguín y Caro, Hernando",2,"person"
"Holguín, Jorge",2,"person"
"Hoyos y Vinent, Antonio de",1,"person"
"Hoyos, Sebastián",1,"person"
"Hugo, Victor",1,"person"
"Huysmans, Joris-Karl",1,"person"
"Ibáñez, Pedro María",6,"person"
"Icaza, Francisco A. de",1,"person"
"Ingenieros, José",2,"person"
"Isaacs, Jorge",3,"person"
"Isaacs, Lísimaco",1,"person"
"Isaza Botero, Teodomiro",5,"person"
"Isaza Jaramillo, Teodomiro",3,"person"
"Isaza R., Fernando",1,"person"
"Isaza, Horacio",3,"person"
"Jaloux, Edmond",1,"person"
"Jammes, Francis",2,"person"
"Jaramillo Arango, Rafael",7,"person"
"Jaramillo Arango, Roberto",4,"person"
"Jaramillo Medina, Francisco",5,"person"
"Jaramillo Meza, Juan Bautista",1,"person"
"Jaramillo P, Escipión",1,"person"
"Jaramillo, Bernardo",7,"person"
"Jaramillo, Emilio",1,"person"
"Jaramillo, Escipión",4,"person"
"Jaramillo, Joaquín Emilio",1,"person"
"Jarnés, Benjamín",1,"person"
"Jeunesse, Ernest La",1,"person"
"Jiménez de la Espada, Marcos",2,"person"
"Jiménez, Juan Ramón",4,"person"
"Joubert, Joseph",1,"person"
"Joufrez, Lila de",1,"person"
"Kaminsky-Halpérine, Ilya",1,"person"
"Khayyam, Omar",1,"person"
"Kipling, Rudyard",2,"person"
"L'Heureux, Marcel",1,"person"
"Lamartine, Alphonse de",2,"person"
"Lambert, Suzanne",1,"person"
"Lapauze, Jeanne",1,"person"
"Larrazábal, Antonio",1,"person"
"Latorre Mendoza, Luis",2,"person"
"Latorre, Gabriel",2,"person"
"Laverde Amaya, Isidoro",15,"person"
"Laverde Liévano, Manuel",1,"person"
"Le Blond, M.",1,"person"
"Le Breton, Fanny",2,"person"
"Le Moyne, Arnaud Auguste Hilaire",3,"person"
"Lemaître, Jules",1,"person"
